0: NT_UNKNOWN
511: NT_IN_TEX_COMPOSITE_LAYER
512: NT_IN_OUTPUT_AOV_LAYER
513: NT_IN_BLENDING_SETTINGS
514: NT_IN_POST_VOLUME
515: NT_IN_TRACE_SET_VISIBILITY_RULE_GROUP
516: NT_IN_TRACE_SET_VISIBILITY_RULE
517: NT_OUT_BOOL
518: NT_OUT_FLOAT
519: NT_OUT_INT
520: NT_OUT_TRANSFORM
521: NT_OUT_TEXTURE
522: NT_OUT_EMISSION
523: NT_OUT_MATERIAL
524: NT_OUT_CAMERA
525: NT_OUT_ENVIRONMENT
526: NT_OUT_IMAGER
527: NT_OUT_KERNEL
528: NT_OUT_GEOMETRY
529: NT_OUT_MEDIUM
530: NT_OUT_PHASEFUNCTION
531: NT_OUT_FILM_SETTINGS
532: NT_OUT_ENUM
533: NT_OUT_OBJECTLAYER
534: NT_OUT_POSTPROCESSING
535: NT_OUT_RENDERTARGET
536: NT_OUT_PROJECTION
537: NT_OUT_DISPLACEMENT
538: NT_OUT_STRING
539: NT_OUT_RENDER_PASSES
540: NT_OUT_RENDER_LAYER
541: NT_OUT_VOLUME_RAMP
542: NT_OUT_ANIMATION_SETTINGS
543: NT_OUT_LUT
544: NT_OUT_RENDER_JOB
545: NT_OUT_TOON_RAMP
546: NT_OUT_BIT_MASK
547: NT_OUT_ROUND_EDGES
548: NT_OUT_MATERIAL_LAYER
549: NT_OUT_OCIO_VIEW
550: NT_OUT_OCIO_LOOK
551: NT_OUT_OCIO_COLOR_SPACE
552: NT_OUT_OUTPUT_AOV_GROUP
553: NT_OUT_OUTPUT_AOV
554: NT_OUT_TEX_COMPOSITE_LAYER
555: NT_OUT_OUTPUT_AOV_LAYER
556: NT_OUT_BLENDING_SETTINGS
557: NT_OUT_POST_VOLUME
558: NT_OUT_TRACE_SET_VISIBILITY_RULE_GROUP
559: NT_OUT_TRACE_SET_VISIBILITY_RULE
560: NT_SWITCH_OFFSET
561: NT_SWITCH_BOOL
562: NT_SWITCH_FLOAT
563: NT_SWITCH_INT
564: NT_SWITCH_TRANSFORM
565: NT_SWITCH_TEXTURE
566: NT_SWITCH_EMISSION
567: NT_SWITCH_MATERIAL
568: NT_SWITCH_CAMERA
569: NT_SWITCH_ENVIRONMENT
570: NT_SWITCH_IMAGER
571: NT_SWITCH_KERNEL
572: NT_SWITCH_GEOMETRY
573: NT_SWITCH_MEDIUM
574: NT_SWITCH_PHASEFUNCTION
575: NT_SWITCH_FILM_SETTINGS
576: NT_SWITCH_ENUM
577: NT_SWITCH_OBJECTLAYER
578: NT_SWITCH_POSTPROCESSING
579: NT_SWITCH_RENDERTARGET
580: NT_SWITCH_PROJECTION
581: NT_SWITCH_DISPLACEMENT
582: NT_SWITCH_STRING
583: NT_SWITCH_RENDER_PASSES
584: NT_SWITCH_RENDER_LAYER
585: NT_SWITCH_VOLUME_RAMP
586: NT_SWITCH_ANIMATION_SETTINGS
587: NT_SWITCH_LUT
588: NT_SWITCH_RENDER_JOB
589: NT_SWITCH_TOON_RAMP
590: NT_SWITCH_BIT_MASK
591: NT_SWITCH_ROUND_EDGES
592: NT_SWITCH_MATERIAL_LAYER
593: NT_SWITCH_OCIO_VIEW
594: NT_SWITCH_OCIO_LOOK
595: NT_SWITCH_OCIO_COLOR_SPACE
596: NT_SWITCH_OUTPUT_AOV_GROUP
597: NT_SWITCH_OUTPUT_AOV
598: NT_SWITCH_TEX_COMPOSITE_LAYER
599: NT_SWITCH_OUTPUT_AOV_LAYER
600: NT_SWITCH_BLENDING_SETTINGS
601: NT_SWITCH_POST_VOLUME
602: NT_SWITCH_TRACE_SET_VISIBILITY_RULE_GROUP
603: NT_SWITCH_TRACE_SET_VISIBILITY_RULE
604: NT_MATERIALX_RANGE_START
605: NT_TEX_MX_IMAGE
606: NT_TEX_MX_TILEDIMAGE
607: NT_TEX_MX_CONSTANT
608: NT_TEX_MX_RAMPLR
609: NT_TEX_MX_RAMPTB
610: NT_TEX_MX_RAMP4
611: NT_TEX_MX_SPLITLR
612: NT_TEX_MX_SPLITTB
613: NT_TEX_MX_NOISE2D
614: NT_TEX_MX_NOISE3D
615: NT_TEX_MX_FRACTAL3D
616: NT_TEX_MX_CELLNOISE2D
617: NT_TEX_MX_CELLNOISE3D
618: NT_TEX_MX_WORLEYNOISE2D
619: NT_TEX_MX_WORLEYNOISE3D
620: NT_TEX_MX_POSITION
621: NT_TEX_MX_NORMAL
622: NT_TEX_MX_TANGENT
623: NT_TEX_MX_BITANGENT
624: NT_TEX_MX_TEXCOORD
625: NT_TEX_MX_FRAME
626: NT_TEX_MX_TIME
627: NT_TEX_MX_UPDIRECTION
628: NT_TEX_MX_ADD
629: NT_TEX_MX_SUBTRACT
630: NT_TEX_MX_TRANSFORMMATRIX3X3
631: NT_TEX_MX_DIVIDE
632: NT_TEX_MX_COMBINE2_VECTOR2FLOAT
633: NT_TEX_MX_MULTIPLY
634: NT_TEX_MX_COMBINE2_VECTOR3FLOAT
635: NT_TEX_MX_MODULO
636: NT_TEX_MX_ABSVAL
637: NT_TEX_MX_SIGN
638: NT_TEX_MX_FLOOR
639: NT_TEX_MX_CEIL
640: NT_TEX_MX_ROUND
641: NT_TEX_MX_POWER
642: NT_TEX_MX_SIN
643: NT_TEX_MX_COS
644: NT_TEX_MX_TAN
645: NT_TEX_MX_ASIN
646: NT_TEX_MX_ACOS
647: NT_TEX_MX_ATAN2
648: NT_TEX_MX_SQRT
649: NT_TEX_MX_LN
650: NT_TEX_MX_EXP
651: NT_TEX_MX_CLAMP
652: NT_TEX_MX_MIN
653: NT_TEX_MX_MAX
